iter	Passed	Remaining
878	2801	385
879	2803	382
880	2806	379
881	2809	375
882	2813	372
883	2816	369
884	2817	366
885	2821	363
886	2824	359
887	2827	356
888	2829	353
889	2831	349
890	2837	347
891	2839	343
892	2841	340
893	2844	337
894	2854	334
895	2856	331
896	2863	328
897	2867	325
898	2870	322
899	2880	320
900	2888	317
901	2897	314
902	2899	311
903	2901	308
904	2904	304
905	2907	301
906	2912	298
907	2914	295
908	2925	292
909	2928	289
910	2930	286
911	2937	283
912	2945	280
913	2952	277
914	2955	274
915	2958	271
916	2966	268
917	2971	265
918	2973	262
919	2979	259
920	2982	255
921	2984	252
922	2985	249
923	2988	245
924	2992	242
925	2994	239
926	2998	236
927	2999	232
928	3003	229
929	3007	226
930	3009	223
931	3012	219
932	3015	216
933	3017	213
934	3020	209
935	3022	206
936	3024	203
937	3026	200
938	3030	196
939	3035	193
940	3037	190
941	3039	187
942	3041	183
943	3046	180
944	3050	177
945	3052	174
946	3055	170
947	3059	167
948	3066	164
949	3069	161
950	3071	158
951	3076	155
952	3078	151
953	3080	148
954	3083	145
955	3085	142
956	3087	138
957	3090	135
958	3092	132
959	3094	128
960	3096	125
961	3100	122
962	3104	119
963	3106	116
964	3108	112
965	3110	109
966	3112	106
967	3115	102
968	3118	99
969	3121	96
970	3123	93
971	3125	90
972	3131	86
973	3133	83
974	3137	80
975	3139	77
976	3141	73
977	3147	70
978	3149	67
979	3151	64
980	3153	61
981	3155	57
982	3158	54
983	3160	51
984	3162	48
985	3165	44
986	3167	41
987	3170	38
988	3172	35
989	3175	32
990	3176	28
991	3179	25
992	3181	22
993	3185	19
994	3188	16
995	3191	12
996	3193	9
997	3195	6
998	3199	3
999	3203	0
